"Country.Name","Country.Code","HCI_2025"
"Sweden","SWE","270.012235561226"
"Syrian Arab Republic","SYR",
"Tajikistan","TJK","138.469191684176"
"Tanzania","TZA","132.631068631231"
"Thailand","THA","202.297187373807"
"Timor-Leste","TLS",
"Togo","TGO","136.164178497012"
"Tonga","TON","175.778000893774"
"Trinidad and Tobago","TTO","189.999056876157"
"Tunisia","TUN","161.163455429672"
"Turkmenistan","TKM","178.768794380418"
"Turks and Caicos Islands","TCA",
"Tuvalu","TUV","166.096299719403"
"Uganda","UGA","145.176022527982"
"Ukraine","UKR","220.311625686497"
"United Arab Emirates","ARE","262.769818900107"
"Uruguay","URY","204.588746951467"
"Uzbekistan","UZB","169.612080696624"
"Vanuatu","VUT","136.446004491691"
"Venezuela, RB","VEN",
"Viet Nam","VNM","214.368419596821"
"Virgin Islands (U.S.)","VIR",
"West Bank and Gaza","PSE","157.935687934005"
"Yemen, Rep.","YEM",
"Zambia","ZMB","129.684500367016"
"Zimbabwe","ZWE","139.392818132141"
